trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
212,False,"{'a': 0.033, 'e': 0.12003162851145673}",25,5,5.68120560052216,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
213,False,"{'a': 0.033, 'e': 0.11883729385240965}",25,7,27.212431208108658,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.033, 'e': 0.11765484302177918}",25,8,26.525523932557544,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.033, 'e': 0.11648415777349697}",20,0,-26.98995325275069,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
216,False,"{'a': 0.033, 'e': 0.11532512103806251}",25,0,-25.05127193913119,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
217,False,"{'a': 0.033, 'e': 0.1141776169108365}",25,13,16.712248900851325,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.033, 'e': 0.11304153064044985}",30,8,18.185012968434737,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.033, 'e': 0.11191674861732888}",20,0,29.491828272863877,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
220,False,"{'a': 0.033, 'e': 0.11080315836233387}",25,12,23.490797794297844,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.033, 'e': 0.10970064851551141}",25,11,16.759236493131915,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.033, 'e': 0.10860910882495796}",20,6,-61.31800788925435,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
223,False,"{'a': 0.033, 'e': 0.10752843013579495}",25,7,17.846631687899407,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
